buying,maint,doors,persons,lug_boot,safety,class
vhigh,vhigh,5more,2,big,med,good
vhigh,vhigh,5more,2,big,high,good
vhigh,vhigh,5more,4,small,low,good
vhigh,vhigh,5more,4,small,med,good
vhigh,vhigh,5more,4,small,high,good
vhigh,vhigh,5more,4,med,low,good
vhigh,vhigh,5more,4,med,med,good
vhigh,vhigh,5more,4,med,high,good
vhigh,vhigh,5more,4,big,low,good
vhigh,vhigh,5more,4,big,med,good
vhigh,vhigh,5more,4,big,high,good
vhigh,vhigh,5more,more,small,low,good
vhigh,vhigh,5more,more,small,med,good
vhigh,vhigh,5more,more,small,high,good
vhigh,vhigh,5more,more,med,low,good
vhigh,vhigh,5more,more,med,med,good
vhigh,vhigh,5more,more,med,high,good
vhigh,vhigh,5more,more,big,low,good
vhigh,vhigh,5more,more,big,med,good
vhigh,vhigh,5more,more,big,high,good
vhigh,high,2,2,small,low,good
vhigh,high,2,2,small,med,good
vhigh,high,2,2,small,high,good
vhigh,high,2,2,med,low,good
vhigh,high,2,2,med,med,good
vhigh,high,2,2,med,high,good
vhigh,high,2,2,big,low,good
vhigh,high,2,2,big,med,good
vhigh,high,2,2,big,high,good
vhigh,high,2,4,small,low,good
vhigh,high,2,4,small,med,good
vhigh,high,2,4,small,high,good
vhigh,high,2,4,med,low,good
vhigh,high,2,4,med,med,good
vhigh,high,2,4,med,high,good
vhigh,high,2,4,big,low,good
vhigh,high,2,4,big,med,good
vhigh,high,2,4,big,high,good
vhigh,high,2,more,small,low,good
vhigh,high,2,more,small,med,good
vhigh,high,2,more,small,high,good
vhigh,high,2,more,med,low,good
vhigh,high,2,more,med,med,good
vhigh,high,2,more,med,high,good
vhigh,high,2,more,big,low,good
vhigh,high,2,more,big,med,good
vhigh,high,2,more,big,high,good
vhigh,high,3,2,small,low,good
vhigh,high,3,2,small,med,good
vhigh,high,3,2,small,high,good
vhigh,high,3,2,med,low,good
vhigh,high,3,2,med,med,good
vhigh,high,3,2,med,high,good
vhigh,high,3,2,big,low,good
vhigh,high,3,2,big,med,good
vhigh,high,3,2,big,high,good
vhigh,high,3,4,small,low,good
vhigh,high,3,4,small,med,good
vhigh,high,3,4,small,high,good
vhigh,high,3,4,med,low,good
vhigh,high,3,4,med,med,good
vhigh,high,3,4,med,high,good
vhigh,high,3,4,big,low,good
vhigh,high,3,4,big,med,good
vhigh,high,3,4,big,high,good
vhigh,high,3,more,small,low,good
vhigh,high,3,more,small,med,good
vhigh,high,3,more,small,high,good
vhigh,high,3,more,med,low,good
vhigh,high,3,more,med,med,good
vhigh,high,3,more,med,high,good
vhigh,high,3,more,big,low,good
vhigh,high,3,more,big,med,good
vhigh,high,3,more,big,high,good
vhigh,high,4,2,small,low,good
vhigh,high,4,2,small,med,good
vhigh,high,4,2,small,high,good
vhigh,high,4,2,med,low,good
vhigh,high,4,2,med,med,good
vhigh,high,4,2,med,high,good
vhigh,high,4,2,big,low,good
vhigh,high,4,2,big,med,good
vhigh,high,4,2,big,high,good
vhigh,high,4,4,small,low,good
vhigh,high,4,4,small,med,good
vhigh,high,4,4,small,high,good
vhigh,high,4,4,med,low,good
vhigh,high,4,4,med,med,good
vhigh,high,4,4,med,high,good
vhigh,high,4,4,big,low,good
vhigh,high,4,4,big,med,good
vhigh,high,4,4,big,high,good
vhigh,high,4,more,small,low,good
vhigh,high,4,more,small,med,good
vhigh,high,4,more,small,high,good
vhigh,high,4,more,med,low,good
vhigh,high,4,more,med,med,good
vhigh,high,4,more,med,high,good
vhigh,high,4,more,big,low,good
vhigh,high,4,more,big,med,good
vhigh,high,4,more,big,high,good
vhigh,high,5more,2,small,low,good
vhigh,high,5more,2,small,med,good
vhigh,high,5more,2,small,high,good
vhigh,high,5more,2,med,low,good
vhigh,high,5more,2,med,med,good
vhigh,high,5more,2,med,high,good
vhigh,high,5more,2,big,low,good
vhigh,high,5more,2,big,med,good
vhigh,high,5more,2,big,high,good
vhigh,high,5more,4,small,low,good
vhigh,high,5more,4,small,med,good
vhigh,high,5more,4,small,high,good
vhigh,high,5more,4,med,low,good
vhigh,high,5more,4,med,med,good
vhigh,high,5more,4,med,high,good
vhigh,high,5more,4,big,low,good
vhigh,high,5more,4,big,med,good
vhigh,high,5more,4,big,high,good
vhigh,high,5more,more,small,low,good
vhigh,high,5more,more,small,med,good
vhigh,high,5more,more,small,high,good
vhigh,high,5more,more,med,low,good
vhigh,high,5more,more,med,med,good
vhigh,high,5more,more,med,high,good
vhigh,high,5more,more,big,low,good
vhigh,high,5more,more,big,med,good
vhigh,high,5more,more,big,high,good
vhigh,med,2,2,small,low,good
vhigh,med,2,2,small,med,good
vhigh,med,2,2,small,high,good
vhigh,med,2,2,med,low,good
vhigh,med,2,2,med,med,good
vhigh,med,2,2,med,high,good
vhigh,med,2,2,big,low,good
vhigh,med,2,2,big,med,good
vhigh,med,2,2,big,high,good
vhigh,med,2,4,small,low,good
vhigh,med,2,4,small,med,good
vhigh,med,2,4,small,high,good
vhigh,med,2,4,med,low,good
vhigh,med,2,4,med,med,good
vhigh,med,2,4,med,high,good
vhigh,med,2,4,big,low,good
vhigh,med,2,4,big,med,good
vhigh,med,2,4,big,high,good
vhigh,med,2,more,small,low,good
vhigh,med,2,more,small,med,good
vhigh,med,2,more,small,high,good
vhigh,med,2,more,med,low,good
vhigh,med,2,more,med,med,good
vhigh,med,2,more,med,high,good
vhigh,med,2,more,big,low,good
vhigh,med,2,more,big,med,good
vhigh,med,2,more,big,high,good
vhigh,med,3,2,small,low,good
vhigh,med,3,2,small,med,good
vhigh,med,3,2,small,high,good
vhigh,med,3,2,med,low,good
vhigh,med,3,2,med,med,good
vhigh,med,3,2,med,high,good
vhigh,med,3,2,big,low,good
vhigh,med,3,2,big,med,good
vhigh,med,3,2,big,high,good
vhigh,med,3,4,small,low,good
vhigh,med,3,4,small,med,good
vhigh,med,3,4,small,high,good
vhigh,med,3,4,med,low,good
vhigh,med,3,4,med,med,good
vhigh,med,3,4,med,high,good
vhigh,med,3,4,big,low,good
vhigh,med,3,4,big,med,good
vhigh,med,3,4,big,high,good
vhigh,med,3,more,small,low,good
vhigh,med,3,more,small,med,good
vhigh,med,3,more,small,high,good
vhigh,med,3,more,med,low,good
vhigh,med,3,more,med,med,good
vhigh,med,3,more,med,high,good
vhigh,med,3,more,big,low,good
vhigh,med,3,more,big,med,good
vhigh,med,3,more,big,high,good
vhigh,med,4,2,small,low,good
vhigh,med,4,2,small,med,good
vhigh,med,4,2,small,high,good
vhigh,med,4,2,med,low,good
vhigh,med,4,2,med,med,good
vhigh,med,4,2,med,high,good
vhigh,med,4,2,big,low,good
vhigh,med,4,2,big,med,good
vhigh,med,4,2,big,high,good
vhigh,med,4,4,small,low,good
vhigh,med,4,4,small,med,good
vhigh,med,4,4,small,high,good
vhigh,med,4,4,med,low,good
vhigh,med,4,4,med,med,good
vhigh,med,4,4,med,high,good
vhigh,med,4,4,big,low,good
vhigh,med,4,4,big,med,good
vhigh,med,4,4,big,high,good
vhigh,med,4,more,small,low,good
vhigh,med,4,more,small,med,good
vhigh,med,4,more,small,high,good
vhigh,med,4,more,med,low,good
vhigh,med,4,more,med,med,good
vhigh,med,4,more,med,high,good
vhigh,med,4,more,big,low,good
vhigh,med,4,more,big,med,good
vhigh,med,4,more,big,high,good
vhigh,med,5more,2,small,low,good
vhigh,med,5more,2,small,med,good
vhigh,med,5more,2,small,high,good
vhigh,med,5more,2,med,low,good
vhigh,med,5more,2,med,med,good
vhigh,med,5more,2,med,high,good
vhigh,med,5more,2,big,low,good
vhigh,med,5more,2,big,med,good
vhigh,med,5more,2,big,high,good
vhigh,med,5more,4,small,low,good
vhigh,med,5more,4,small,med,good
vhigh,med,5more,4,small,high,good
vhigh,med,5more,4,med,low,good
vhigh,med,5more,4,med,med,good
vhigh,med,5more,4,med,high,good
vhigh,med,5more,4,big,low,good
vhigh,med,5more,4,big,med,good
vhigh,med,5more,4,big,high,good
vhigh,med,5more,more,small,low,good
vhigh,med,5more,more,small,med,good
vhigh,med,5more,more,small,high,good
vhigh,med,5more,more,med,low,good
vhigh,med,5more,more,med,med,good
vhigh,med,5more,more,med,high,good
vhigh,med,5more,more,big,low,good
vhigh,med,5more,more,big,med,good
vhigh,med,5more,more,big,high,good
vhigh,low,2,2,small,low,good
vhigh,low,2,2,small,med,good
vhigh,low,2,2,small,high,good
vhigh,low,2,2,med,low,good
vhigh,low,2,2,med,med,good
vhigh,low,2,2,med,high,good
vhigh,low,2,2,big,low,good
vhigh,low,2,2,big,med,good
vhigh,low,2,2,big,high,good
vhigh,low,2,4,small,low,good
vhigh,low,2,4,small,med,good
vhigh,low,2,4,small,high,good
vhigh,low,2,4,med,low,good
vhigh,low,2,4,med,med,good
vhigh,low,2,4,med,high,good
vhigh,low,2,4,big,low,good
vhigh,low,2,4,big,med,good
vhigh,low,2,4,big,high,good
vhigh,low,2,more,small,low,good
vhigh,low,2,more,small,med,good
vhigh,low,2,more,small,high,good
vhigh,low,2,more,med,low,good
vhigh,low,2,more,med,med,good
vhigh,low,2,more,med,high,good
vhigh,low,2,more,big,low,good
vhigh,low,2,more,big,med,good
vhigh,low,2,more,big,high,good
vhigh,low,3,2,small,low,good
vhigh,low,3,2,small,med,good
vhigh,low,3,2,small,high,good
vhigh,low,3,2,med,low,good
vhigh,low,3,2,med,med,good
vhigh,low,3,2,med,high,good
vhigh,low,3,2,big,low,good
vhigh,low,3,2,big,med,good
vhigh,low,3,2,big,high,good
vhigh,low,3,4,small,low,good
vhigh,low,3,4,small,med,good
vhigh,low,3,4,small,high,good
vhigh,low,3,4,med,low,good
vhigh,low,3,4,med,med,good
vhigh,low,3,4,med,high,good
vhigh,low,3,4,big,low,good
vhigh,low,3,4,big,med,good
vhigh,low,3,4,big,high,good
vhigh,low,3,more,small,low,good
vhigh,low,3,more,small,med,good
vhigh,low,3,more,small,high,good
vhigh,low,3,more,med,low,good
vhigh,low,3,more,med,med,good
vhigh,low,3,more,med,high,good
vhigh,low,3,more,big,low,good
vhigh,low,3,more,big,med,good
vhigh,low,3,more,big,high,good
vhigh,low,4,2,small,low,good
vhigh,low,4,2,small,med,good
vhigh,low,4,2,small,high,good
vhigh,low,4,2,med,low,good
vhigh,low,4,2,med,med,good
vhigh,low,4,2,med,high,good
vhigh,low,4,2,big,low,good
vhigh,low,4,2,big,med,good
vhigh,low,4,2,big,high,good
vhigh,low,4,4,small,low,good
vhigh,low,4,4,small,med,good
vhigh,low,4,4,small,high,good
vhigh,low,4,4,med,low,good
vhigh,low,4,4,med,med,good
vhigh,low,4,4,med,high,good
vhigh,low,4,4,big,low,good
vhigh,low,4,4,big,med,good
vhigh,low,4,4,big,high,good
vhigh,low,4,more,small,low,good
vhigh,low,4,more,small,med,good
vhigh,low,4,more,small,high,good
vhigh,low,4,more,med,low,good
vhigh,low,4,more,med,med,good
vhigh,low,4,more,med,high,good
vhigh,low,4,more,big,low,good
vhigh,low,4,more,big,med,good
vhigh,low,4,more,big,high,good
vhigh,low,5more,2,small,low,good
vhigh,low,5more,2,small,med,good
vhigh,low,5more,2,small,high,good
vhigh,low,5more,2,med,low,good
vhigh,low,5more,2,med,med,good
vhigh,low,5more,2,med,high,good
vhigh,low,5more,2,big,low,good
vhigh,low,5more,2,big,med,good
vhigh,low,5more,2,big,high,good
vhigh,low,5more,4,small,low,good
vhigh,low,5more,4,small,med,good
vhigh,low,5more,4,small,high,good
vhigh,low,5more,4,med,low,good
vhigh,low,5more,4,med,med,good
vhigh,low,5more,4,med,high,good
vhigh,low,5more,4,big,low,good
vhigh,low,5more,4,big,med,good
vhigh,low,5more,4,big,high,good
vhigh,low,5more,more,small,low,good
vhigh,low,5more,more,small,med,good
vhigh,low,5more,more,small,high,good
vhigh,low,5more,more,med,low,good
vhigh,low,5more,more,med,med,good
vhigh,low,5more,more,med,high,good
vhigh,low,5more,more,big,low,good
vhigh,low,5more,more,big,med,good
vhigh,low,5more,more,big,high,good
high,vhigh,2,2,small,low,good
high,vhigh,2,2,small,med,good
high,vhigh,2,2,small,high,good
high,vhigh,2,2,med,low,good
high,vhigh,2,2,med,med,good
high,vhigh,2,2,med,high,good
high,vhigh,2,2,big,low,good
high,vhigh,2,2,big,med,good
high,vhigh,2,2,big,high,good
high,vhigh,2,4,small,low,good
high,vhigh,2,4,small,med,good
high,vhigh,2,4,small,high,good
high,vhigh,2,4,med,low,good
high,vhigh,2,4,med,med,good
high,vhigh,2,4,med,high,good
high,vhigh,2,4,big,low,good
high,vhigh,2,4,big,med,good
high,vhigh,2,4,big,high,good
high,vhigh,2,more,small,low,good
high,vhigh,2,more,small,med,good
high,vhigh,2,more,small,high,good
high,vhigh,2,more,med,low,good
high,vhigh,2,more,med,med,good
high,vhigh,2,more,med,high,good
high,vhigh,2,more,big,low,good
high,vhigh,2,more,big,med,good
high,vhigh,2,more,big,high,good
high,vhigh,3,2,small,low,good
high,vhigh,3,2,small,med,good
high,vhigh,3,2,small,high,good
high,vhigh,3,2,med,low,good
high,vhigh,3,2,med,med,good
high,vhigh,3,2,med,high,good
high,vhigh,3,2,big,low,good
high,vhigh,3,2,big,med,good
high,vhigh,3,2,big,high,good
high,vhigh,3,4,small,low,good
high,vhigh,3,4,small,med,good
high,vhigh,3,4,small,high,good
high,vhigh,3,4,med,low,good
high,vhigh,3,4,med,med,good
high,vhigh,3,4,med,high,good
high,vhigh,3,4,big,low,good
high,vhigh,3,4,big,med,good
high,vhigh,3,4,big,high,good
high,vhigh,3,more,small,low,good
high,vhigh,3,more,small,med,good
high,vhigh,3,more,small,high,good
high,vhigh,3,more,med,low,good
high,vhigh,3,more,med,med,good
high,vhigh,3,more,med,high,good
high,vhigh,3,more,big,low,good
high,vhigh,3,more,big,med,good
high,vhigh,3,more,big,high,good
high,vhigh,4,2,small,low,good
high,vhigh,4,2,small,med,good
high,vhigh,4,2,small,high,good
high,vhigh,4,2,med,low,good
high,vhigh,4,2,med,med,good
high,vhigh,4,2,med,high,good
high,vhigh,4,2,big,low,good
high,vhigh,4,2,big,med,good
high,vhigh,4,2,big,high,good
high,vhigh,4,4,small,low,good
high,vhigh,4,4,small,med,good
high,vhigh,4,4,small,high,good
high,vhigh,4,4,med,low,good
high,vhigh,4,4,med,med,good
high,vhigh,4,4,med,high,good
high,vhigh,4,4,big,low,good
high,vhigh,4,4,big,med,good
high,vhigh,4,4,big,high,good
high,vhigh,4,more,small,low,good
high,vhigh,4,more,small,med,good
high,vhigh,4,more,small,high,good
high,vhigh,4,more,med,low,good
high,vhigh,4,more,med,med,good
high,vhigh,4,more,med,high,good
high,vhigh,4,more,big,low,good
high,vhigh,4,more,big,med,good
high,vhigh,4,more,big,high,good
high,vhigh,5more,2,small,low,good
high,vhigh,5more,2,small,med,good
high,vhigh,5more,2,small,high,good
high,vhigh,5more,2,med,low,good
high,vhigh,5more,2,med,med,good
high,vhigh,5more,2,med,high,good
high,vhigh,5more,2,big,low,good
high,vhigh,5more,2,big,med,good
high,vhigh,5more,2,big,high,good
high,vhigh,5more,4,small,low,good
high,vhigh,5more,4,small,med,good
high,vhigh,5more,4,small,high,good
high,vhigh,5more,4,med,low,good
high,vhigh,5more,4,med,med,good
high,vhigh,5more,4,med,high,good
high,vhigh,5more,4,big,low,good
high,vhigh,5more,4,big,med,good
high,vhigh,5more,4,big,high,good
high,vhigh,5more,more,small,low,good
high,vhigh,5more,more,small,med,good
high,vhigh,5more,more,small,high,good
high,vhigh,5more,more,med,low,good
high,vhigh,5more,more,med,med,good
high,vhigh,5more,more,med,high,good
high,vhigh,5more,more,big,low,good
high,vhigh,5more,more,big,med,good
high,vhigh,5more,more,big,high,good
high,high,2,2,small,low,good
high,high,2,2,small,med,good
high,high,2,2,small,high,good
high,high,2,2,med,low,good
high,high,2,2,med,med,good
high,high,2,2,med,high,good
high,high,2,2,big,low,good
high,high,2,2,big,med,good
high,high,2,2,big,high,good
high,high,2,4,small,low,good
high,high,2,4,small,med,good
high,high,2,4,small,high,good
high,high,2,4,med,low,good
high,high,2,4,med,med,good
high,high,2,4,med,high,good
high,high,2,4,big,low,good
high,high,2,4,big,med,good
high,high,2,4,big,high,good
high,high,2,more,small,low,good
high,high,2,more,small,med,good
high,high,2,more,small,high,good
high,high,2,more,med,low,good
high,high,2,more,med,med,good
high,high,2,more,med,high,good
high,high,2,more,big,low,good
high,high,2,more,big,med,good
high,high,2,more,big,high,good
high,high,3,2,small,low,good
high,high,3,2,small,med,good
high,high,3,2,small,high,good
high,high,3,2,med,low,good
high,high,3,2,med,med,good
high,high,3,2,med,high,good
high,high,3,2,big,low,good
high,high,3,2,big,med,good
high,high,3,2,big,high,good
high,high,3,4,small,low,good
high,high,3,4,small,med,good
high,high,3,4,small,high,good
high,high,3,4,med,low,good
high,high,3,4,med,med,good
high,high,3,4,med,high,good
high,high,3,4,big,low,good
high,high,3,4,big,med,good
high,high,3,4,big,high,good
high,high,3,more,small,low,good
high,high,3,more,small,med,good
high,high,3,more,small,high,good
high,high,3,more,med,low,good
high,high,3,more,med,med,good
high,high,3,more,med,high,good
high,high,3,more,big,low,good
high,high,3,more,big,med,good
high,high,3,more,big,high,good
high,high,4,2,small,low,good
high,high,4,2,small,med,good
high,high,4,2,small,high,good
high,high,4,2,med,low,good
high,high,4,2,med,med,good
high,high,4,2,med,high,good
high,high,4,2,big,low,good
high,high,4,2,big,med,good
high,high,4,2,big,high,good
high,high,4,4,small,low,good
high,high,4,4,small,med,good
high,high,4,4,small,high,good
high,high,4,4,med,low,good
high,high,4,4,med,med,good
high,high,4,4,med,high,good
high,high,4,4,big,low,good
high,high,4,4,big,med,good
high,high,4,4,big,high,good
high,high,4,more,small,low,good
high,high,4,more,small,med,good
high,high,4,more,small,high,good
high,high,4,more,med,low,good
high,high,4,more,med,med,good
high,high,4,more,med,high,good
high,high,4,more,big,low,good
high,high,4,more,big,med,good
high,high,4,more,big,high,good
high,high,5more,2,small,low,good
high,high,5more,2,small,med,good
high,high,5more,2,small,high,good
high,high,5more,2,med,low,good
high,high,5more,2,med,med,good
high,high,5more,2,med,high,good
high,high,5more,2,big,low,good
high,high,5more,2,big,med,good
high,high,5more,2,big,high,good
high,high,5more,4,small,low,good
high,high,5more,4,small,med,good
high,high,5more,4,small,high,good
high,high,5more,4,med,low,good
high,high,5more,4,med,med,good
high,high,5more,4,med,high,good
high,high,5more,4,big,low,good
high,high,5more,4,big,med,good
high,high,5more,4,big,high,good
high,high,5more,more,small,low,good
high,high,5more,more,small,med,good
high,high,5more,more,small,high,good
high,high,5more,more,med,low,good
high,high,5more,more,med,med,good
high,high,5more,more,med,high,good
high,high,5more,more,big,low,good
high,high,5more,more,big,med,good
high,high,5more,more,big,high,good
high,med,2,2,small,low,good
high,med,2,2,small,med,good
high,med,2,2,small,high,good
high,med,2,2,med,low,good
high,med,2,2,med,med,good
high,med,2,2,med,high,good
high,med,2,2,big,low,good
high,med,2,2,big,med,good
high,med,2,2,big,high,good
high,med,2,4,small,low,good
high,med,2,4,small,med,good
high,med,2,4,small,high,good
high,med,2,4,med,low,good
high,med,2,4,med,med,good
high,med,2,4,med,high,good
high,med,2,4,big,low,good
high,med,2,4,big,med,good
high,med,2,4,big,high,good
high,med,2,more,small,low,good
high,med,2,more,small,med,good
high,med,2,more,small,high,good
high,med,2,more,med,low,good
high,med,2,more,med,med,good
high,med,2,more,med,high,good
high,med,2,more,big,low,good
high,med,2,more,big,med,good
high,med,2,more,big,high,good
high,med,3,2,small,low,good
high,med,3,2,small,med,good
high,med,3,2,small,high,good
high,med,3,2,med,low,good
high,med,3,2,med,med,good
high,med,3,2,med,high,good
high,med,3,2,big,low,good
high,med,3,2,big,med,good
high,med,3,2,big,high,good
high,med,3,4,small,low,good
high,med,3,4,small,med,good
high,med,3,4,small,high,good
high,med,3,4,med,low,good
high,med,3,4,med,med,good
high,med,3,4,med,high,good
high,med,3,4,big,low,good
high,med,3,4,big,med,good
high,med,3,4,big,high,good
high,med,3,more,small,low,good
high,med,3,more,small,med,good
high,med,3,more,small,high,good
high,med,3,more,med,low,good
high,med,3,more,med,med,good
high,med,3,more,med,high,good
high,med,3,more,big,low,good
high,med,3,more,big,med,good
high,med,3,more,big,high,good
high,med,4,2,small,low,good
high,med,4,2,small,med,good
high,med,4,2,small,high,good
high,med,4,2,med,low,good
high,med,4,2,med,med,good
high,med,4,2,med,high,good
high,med,4,2,big,low,good
high,med,4,2,big,med,good
high,med,4,2,big,high,good
high,med,4,4,small,low,good
high,med,4,4,small,med,good
high,med,4,4,small,high,good
high,med,4,4,med,low,good
high,med,4,4,med,med,good
high,med,4,4,med,high,good
high,med,4,4,big,low,good
high,med,4,4,big,med,good
high,med,4,4,big,high,good
high,med,4,more,small,low,good
high,med,4,more,small,med,good
high,med,4,more,small,high,good
high,med,4,more,med,low,good
high,med,4,more,med,med,good
high,med,4,more,med,high,good
high,med,4,more,big,low,good
high,med,4,more,big,med,good
high,med,4,more,big,high,good
high,med,5more,2,small,low,good
high,med,5more,2,small,med,good
high,med,5more,2,small,high,good
high,med,5more,2,med,low,good
high,med,5more,2,med,med,good
high,med,5more,2,med,high,good
high,med,5more,2,big,low,good
high,med,5more,2,big,med,good
high,med,5more,2,big,high,good
high,med,5more,4,small,low,good
high,med,5more,4,small,med,good
high,med,5more,4,small,high,good
high,med,5more,4,med,low,good
high,med,5more,4,med,med,good
high,med,5more,4,med,high,good
high,med,5more,4,big,low,good
high,med,5more,4,big,med,good
high,med,5more,4,big,high,good
high,med,5more,more,small,low,good
high,med,5more,more,small,med,good
high,med,5more,more,small,high,good
high,med,5more,more,med,low,good
high,med,5more,more,med,med,good
high,med,5more,more,med,high,good
high,med,5more,more,big,low,good
high,med,5more,more,big,med,good
high,med,5more,more,big,high,good
high,low,2,2,small,low,good
high,low,2,2,small,med,good
high,low,2,2,small,high,good
high,low,2,2,med,low,good
high,low,2,2,med,med,good
high,low,2,2,med,high,good
high,low,2,2,big,low,good
high,low,2,2,big,med,good
high,low,2,2,big,high,good
high,low,2,4,small,low,good
high,low,2,4,small,med,good
high,low,2,4,small,high,good
high,low,2,4,med,low,good
high,low,2,4,med,med,good
high,low,2,4,med,high,good
high,low,2,4,big,low,good
high,low,2,4,big,med,good
high,low,2,4,big,high,good
high,low,2,more,small,low,good
high,low,2,more,small,med,good
high,low,2,more,small,high,good
high,low,2,more,med,low,good
high,low,2,more,med,med,good
high,low,2,more,med,high,good
high,low,2,more,big,low,good
high,low,2,more,big,med,good
high,low,2,more,big,high,good
high,low,3,2,small,low,good
high,low,3,2,small,med,good
high,low,3,2,small,high,good
high,low,3,2,med,low,good
high,low,3,2,med,med,good
high,low,3,2,med,high,good
high,low,3,2,big,low,good
high,low,3,2,big,med,good
high,low,3,2,big,high,good
high,low,3,4,small,low,good
high,low,3,4,small,med,good
high,low,3,4,small,high,good
high,low,3,4,med,low,good
high,low,3,4,med,med,good
high,low,3,4,med,high,good
high,low,3,4,big,low,good
high,low,3,4,big,med,good
high,low,3,4,big,high,good
high,low,3,more,small,low,good
high,low,3,more,small,med,good
high,low,3,more,small,high,good
high,low,3,more,med,low,good
high,low,3,more,med,med,good
high,low,3,more,med,high,good
high,low,3,more,big,low,good
high,low,3,more,big,med,good
high,low,3,more,big,high,good
high,low,4,2,small,low,good
high,low,4,2,small,med,good
high,low,4,2,small,high,good
high,low,4,2,med,low,good
high,low,4,2,med,med,good
high,low,4,2,med,high,good
high,low,4,2,big,low,good
high,low,4,2,big,med,good
high,low,4,2,big,high,good
high,low,4,4,small,low,good
high,low,4,4,small,med,good
high,low,4,4,small,high,good
high,low,4,4,med,low,good
high,low,4,4,med,med,good
high,low,4,4,med,high,good
high,low,4,4,big,low,good
high,low,4,4,big,med,good
high,low,4,4,big,high,good
high,low,4,more,small,low,good
high,low,4,more,small,med,good
high,low,4,more,small,high,good
high,low,4,more,med,low,good
high,low,4,more,med,med,good
high,low,4,more,med,high,good
high,low,4,more,big,low,good
high,low,4,more,big,med,good
high,low,4,more,big,high,good
high,low,5more,2,small,low,good
high,low,5more,2,small,med,good
high,low,5more,2,small,high,good
high,low,5more,2,med,low,good
high,low,5more,2,med,med,good
high,low,5more,2,med,high,good
